trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
688,False,"{'a': 0.009, 'e': 0.002045731196691455}",20,8,23.252218192414585,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.009, 'e': 0.0020274022200366037}",30,10,34.41333691587527,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.009, 'e': 0.0020092374640700602}",30,8,36.81742286523767,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.009, 'e': 0.001991235457436662}",20,14,10.056004780897686,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.009, 'e': 0.001973394741964025}",20,5,23.780901305364566,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.009, 'e': 0.0019557138725444455}",25,8,23.724796067259902,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.009, 'e': 0.0019381914170178295}",30,12,35.04278193057459,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.009, 'e': 0.0019208259560557013}",25,15,19.578335232771924,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.009, 'e': 0.0019036160830462295}",30,19,24.60430277184048,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.009, 'e': 0.0018865604039802878}",30,19,19.722939319369473,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.009, 'e': 0.00186965753733855}",25,15,16.157421846023084,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
